Category (survey question),Product (answer option),Flag / Note,"multi-select; Interested; Considering/evaluating; Pilot/implementing; production; recommend,do not recommend"
AI Gateway,Portkey,"Acq. by Palo Alto (closed 2026-05-29); now Prisma AIRS gateway",
AI Gateway,LiteLLM,Independent (OSS),
AI Gateway,TrueFoundry,Independent,
AI Gateway,Cloudflare,Public (NET),
AI Gateway,Kong AI Gateway,Independent; also MCP gateway,
AI Gateway,F5,"Public (FFIV); acquired CalypsoAI 2025-10",
AI Gateway,OpenRouter,Independent; hosted aggregator (data leaves tenancy),
AI Gateway,Other (Please Specify),,
LLM Observability & Eval,Langfuse,"Acq. by ClickHouse (announced 2026-01); core stays OSS",
LLM Observability & Eval,LangSmith,Independent (LangChain),
LLM Observability & Eval,Arize Phoenix,Independent,
LLM Observability & Eval,Braintrust,Independent,
LLM Observability & Eval,Helicone,"Acq. by Mintlify (2026-03); now maintenance mode",
LLM Observability & Eval,Datadog LLM Observability,Public (DDOG); organic module,
LLM Observability & Eval,Weights & Biases (Weave),"Acq. by CoreWeave (closed 2025-05)",
LLM Observability & Eval,Comet (Opik),Independent,
LLM Observability & Eval,Fiddler AI,Independent,
LLM Observability & Eval,TruLens,"Snowflake (acq. TruEra 2024-05); TruLens stays OSS",
LLM Observability & Eval,WhyLabs,"Acq. by Apple (~2025, acqui-hire); product wound down",
LLM Observability & Eval,Other (Please Specify),,
AI Runtime Security / AI Firewall,Prisma AIRS (Palo Alto),"incl. former Protect AI (closed 2025-07) + Portkey gateway",
AI Runtime Security / AI Firewall,WitnessAI,Independent ($86.5M),
AI Runtime Security / AI Firewall,Cisco AI Defense (former Robust Intelligence),Cisco (closed ~2024-09),
AI Runtime Security / AI Firewall,Pillar Security,Independent,
AI Runtime Security / AI Firewall,CalypsoAI,"Acq. by F5 (closed 2025-10-08); now F5 AI Guardrails",
AI Runtime Security / AI Firewall,HiddenLayer,Independent ($50M Series A),
AI Runtime Security / AI Firewall,Enkrypt AI,Independent (seed-stage),
AI Runtime Security / AI Firewall,TrojAI,"Acq. by A10 Networks (announced 2026-06-15)",
AI Runtime Security / AI Firewall,Other (Please Specify),,
AI-SPM,Noma,Independent; AI-SPM + agent runtime,
AI-SPM,Wiz (Google),"Acq. by Google (closed 2026-03-11)",
AI-SPM,Prisma AIRS (Palo Alto),,
AI-SPM,Prompt Security (SentinelOne),"Acq. by SentinelOne (closed ~2025)",
AI-SPM,Aim Security (Cato),"Acq. by Cato (announced 2025-09-03)",
AI-SPM,Astrix (Cisco),"INTENT announced 2026-05-04 — PENDING, not closed",
AI-SPM,Cranium,Independent; itself acquired Aiceberg (2026-05),
AI-SPM,Quilr,Independent; overlap with access-governance,
AI-SPM,Zenity,Independent; spans AI-SPM + agent runtime,
AI-SPM,Other (Please Specify),,
Agent Security,Zenity,Independent,
Agent Security,Lasso Security,Independent; AI/agent security + shadow-AI; common shortlist,
Agent Security,Operant AI,Runtime agent/API protection,
Agent Security,Apex Security (Tenable),"Acq. by Tenable (announced 2025-05-29)",
Agent Security,Straiker,Independent,
Agent Security,Other (Please Specify),,
AI Antiphishing/deepfake/social engineering defense,Adaptive,Independent; OpenAI Startup Fund-backed,
AI Antiphishing/deepfake/social engineering defense,Doppel,Independent,
AI Antiphishing/deepfake/social engineering defense,Reality Defender,Independent,
AI Antiphishing/deepfake/social engineering defense,GetReal,Independent (Hany Farid),
AI Antiphishing/deepfake/social engineering defense,Pindrop,Independent,
AI Antiphishing/deepfake/social engineering defense,Other (Please Specify),,
"AI Governance, Model Risk & Compliance",Credo AI,Independent,
"AI Governance, Model Risk & Compliance",Holistic AI,Independent (distinct from Paris 'H'),
"AI Governance, Model Risk & Compliance",ModelOp,Independent; strong FS/SR 11-7 focus,
"AI Governance, Model Risk & Compliance",Vanta,Independent,
"AI Governance, Model Risk & Compliance",OneTrust,Independent; private,
"AI Governance, Model Risk & Compliance",IBM watsonx.governance,IBM,
"AI Governance, Model Risk & Compliance",Monitaur,Independent,
"AI Governance, Model Risk & Compliance",Fairly AI,Rebranded 'Asenion' (acq. anch.AI 2025-06),
"AI Governance, Model Risk & Compliance",Behavox,Independent; comms-surveillance (see own question),
"AI Governance, Model Risk & Compliance",Theta Lake,Independent; comms-surveillance (see own question),
"AI Governance, Model Risk & Compliance",Other (Please Specify),,
Authorization Engine (Agent / Tool),Cerbos,Agent/tool authz (PDP),
Authorization Engine (Agent / Tool),OPA / Styra,"Styra core team acqui-hired by Apple (2025); OPA stays CNCF",
Authorization Engine (Agent / Tool),Permit.io,Agent authz,
Authorization Engine (Agent / Tool),Oso,Agent authz; 'Oso for Agents',
Authorization Engine (Agent / Tool),AuthZed (SpiceDB),Relationship-based authz (Zanzibar),
Authorization Engine (Agent / Tool),Other (Please Specify),,
MCP Gateway / Tool Access Control,Kong MCP Gateway,Agent/MCP gateway,
MCP Gateway / Tool Access Control,Solo.io agentgateway,Open-source (Linux Foundation; distinct from kgateway),
MCP Gateway / Tool Access Control,TrueFoundry MCP Gateway,Agent/MCP gateway,
MCP Gateway / Tool Access Control,Obot / MintMCP,Agent/MCP gateway (early-stage),
MCP Gateway / Tool Access Control,Pomerium,Identity-aware proxy for MCP/tool access,
MCP Gateway / Tool Access Control,Natoma,"MCP-native NHI gateway; acq. by Snowflake (intent 2026-05-27 — PENDING)",
MCP Gateway / Tool Access Control,Prisma AIRS AI Agent Gateway,Palo Alto,
MCP Gateway / Tool Access Control,Other (Please Specify),,
Tool Identity & Integration (Agent Auth),Composio,Tool integration / managed agent auth,
Tool Identity & Integration (Agent Auth),Arcade,Tool-calling / per-user OAuth (Arcade.dev),
Tool Identity & Integration (Agent Auth),StackOne,Unified-API agent tooling,
Tool Identity & Integration (Agent Auth),Descope,Agent/CIAM auth,
Tool Identity & Integration (Agent Auth),Stytch,"Acq. by Twilio (closed 2025-11-14)",
Tool Identity & Integration (Agent Auth),WorkOS,Agent auth; acquirer of Warrant (FGA),
Tool Identity & Integration (Agent Auth),CyberArk,"Acq. by Palo Alto (closed 2026-02-11)",
Tool Identity & Integration (Agent Auth),Other (Please Specify),,
Shadow-AI / Insider risk,Harmonic,Independent,
Shadow-AI / Insider risk,Aurascape,Independent; also AI runtime,
Shadow-AI / Insider risk,Nudge Security,Independent (ex-AlienVault founders),
Shadow-AI / Insider risk,Lanai,Independent; on-device detection,
Shadow-AI / Insider risk,Cyberhaven,Data-flow visibility into AI usage,
Shadow-AI / Insider risk,Wald.ai,AI usage discovery + redaction,
Shadow-AI / Insider risk,Portal26,Independent (formerly Titaniam),
Shadow-AI / Insider risk,Other (Please Specify),,
Enterprise Browser,Island,Independent,
