Category (survey question),Product (answer option),Flag / Note,"multi-select; Interested; Considering/evaluating; Pilot/implementing; production; recommend,do not recommend"
AI Gateway,Portkey (acq. by Palo Alto),,
AI Gateway,LiteLLM,,
AI Gateway,TrueFoundry,,
AI Gateway,Cloudflare,,
AI Gateway,Kong AI Gateway,,
AI Gateway,F5,,
AI Gateway,OpenRouter,,
AI Gateway,Other (Please Specify),,
LLM Observability & Eval,Langfuse,observability/evals,
LLM Observability & Eval,LangSmith,observability/evals,
LLM Observability & Eval,Arize Phoenix,observability/evals,
LLM Observability & Eval,Braintrust,Evals / testing,
LLM Observability & Eval,Helicone,Observability,
LLM Observability & Eval,Datadog LLM Observability,Observability,
LLM Observability & Eval,Weights & Biases (Weave),observability/evals,
LLM Observability & Eval,Comet (Opik),observability/evals,
LLM Observability & Eval,Fiddler AI,Monitoring / explainability,
LLM Observability & Eval,TruLens,RAG/evals,
LLM Observability & Eval,Other (Please Specify),,
AI Runtime Security / AI Firewall,Prisma AIRS (Palo Alto; incl. former Protect AI),,
AI Runtime Security / AI Firewall,WitnessAI,,
AI Runtime Security / AI Firewall,Cisco AI Defense (former Robust Intelligence),,
AI Runtime Security / AI Firewall,Pillar Security,,
AI Runtime Security / AI Firewall,CalypsoAI (acq. by F5),,
AI Runtime Security / AI Firewall,HiddenLayer,,
AI Runtime Security / AI Firewall,TrojAI,,
AI Runtime Security / AI Firewall,Other (Please Specify),,
AI-SPM,Noma,AI-SPM,
AI-SPM,Wiz (acq. by Google),AI-SPM,
AI-SPM,Prisma AIRS (Palo Alto),,
AI-SPM,Prompt Security (acq. by SentinelOne),,
AI-SPM,Aim Security (acq. by Cato),,
AI-SPM,Astrix (Acq. by Cisco),,
AI-SPM,Cranium,,
AI-SPM,Quilr,overlap with governance?,
AI-SPM,Other (Please Specify),,
Agent Security,Zenity,Agent Runtime Security,
Agent Security,Lasso Security,AI/agent security + shadow-AI; common shortlist.,
Agent Security,Operant AI,Runtime agent/API protection.,
Agent Security,Apex Security (acq. by Tenable),,
Agent Security,Straiker,,
Agent Security,Other (Please Specify),,
AI Antiphishing/deepfake/social engineering defense,Adaptive,,
AI Antiphishing/deepfake/social engineering defense,Doppel,,
AI Antiphishing/deepfake/social engineering defense,Reality Defender,,
AI Antiphishing/deepfake/social engineering defense,GetReal,,
AI Antiphishing/deepfake/social engineering defense,Pindrop,,
AI Antiphishing/deepfake/social engineering defense,Other (Please Specify),,
"AI Governance, Model Risk & Compliance",Credo AI,,
"AI Governance, Model Risk & Compliance",Holistic AI,,
"AI Governance, Model Risk & Compliance",ModelOp,,
"AI Governance, Model Risk & Compliance",Vanta,,
"AI Governance, Model Risk & Compliance",OneTrust,,
"AI Governance, Model Risk & Compliance",IBM watsonx.governance,,
"AI Governance, Model Risk & Compliance",Monitaur,,
"AI Governance, Model Risk & Compliance",Fairly AI,,
"AI Governance, Model Risk & Compliance",Behavox,,
"AI Governance, Model Risk & Compliance",Theta Lake,,
"AI Governance, Model Risk & Compliance",Other (Please Specify),,
MCP / Agent Gateway & Tool Access,Kong MCP Gateway,Agent gateway,
MCP / Agent Gateway & Tool Access,Solo.io agentgateway,Open-source (kgateway/agentgateway).,
MCP / Agent Gateway & Tool Access,Cerbos,Agent auth,
MCP / Agent Gateway & Tool Access,Arcade,Tool-calling / agent auth (Arcade.dev).,
MCP / Agent Gateway & Tool Access,OPA / Styra,Agent auth,
MCP / Agent Gateway & Tool Access,Permit.io,Agent auth,
MCP / Agent Gateway & Tool Access,Oso,Agent auth,
MCP / Agent Gateway & Tool Access,TrueFoundry MCP Gateway,Agent gateway,
MCP / Agent Gateway & Tool Access,Pomerium,Identity-aware proxy used for MCP/tool access.,
MCP / Agent Gateway & Tool Access,Obot / MintMCP,Agent gateway,
MCP / Agent Gateway & Tool Access,Descope,Agent auth,
MCP / Agent Gateway & Tool Access,Stytch,Agent auth,
MCP / Agent Gateway & Tool Access,WorkOS,Agent auth,
MCP / Agent Gateway & Tool Access,Composio,,
MCP / Agent Gateway & Tool Access,Other (Please Specify),,
Shadow-AI / Insider risk,Harmonic,,
Shadow-AI / Insider risk,Aurascape,,
Shadow-AI / Insider risk,Nudge Security,,
Shadow-AI / Insider risk,Lanai,,
Shadow-AI / Insider risk,Cyberhaven,Data-flow visibility into AI usage.,
Shadow-AI / Insider risk,Wald.ai,AI usage discovery + redaction.,
Shadow-AI / Insider risk,Portal26,,
Shadow-AI / Insider risk,Other (Please Specify),,
Enterprise Browser,Island,,
Enterprise Browser,LayerX browser extension,,
Enterprise Browser,Prisma Access Browser (Palo Alto; former Talon),,
Enterprise Browser,Menlo Security,,
Enterprise Browser,Google Chrome Enterprise Premium,,
Enterprise Browser,Microsoft Edge for Business,,
Enterprise Browser,Seraphic,,
Enterprise Browser,Other (Please Specify),,
Non-Human Identity / Agent Identity Governance,CyberArk (Acq. by Palo Alto),,
Non-Human Identity / Agent Identity Governance,Astrix (Acq. by Cisco),,
Non-Human Identity / Agent Identity Governance,Token Security,,
Non-Human Identity / Agent Identity Governance,Aembit,,
Non-Human Identity / Agent Identity Governance,Oasis Security,,
Non-Human Identity / Agent Identity Governance,Natoma,,
Non-Human Identity / Agent Identity Governance,Entro Security,,
Non-Human Identity / Agent Identity Governance,Clutch Security,,
Non-Human Identity / Agent Identity Governance,Other (Please Specify),,
AI Red Teaming / Guardrails,Mindgard,Automated AI red teaming.,
AI Red Teaming / Guardrails,SplxAI,AI red teaming / pentest.,
AI Red Teaming / Guardrails,Promptfoo (acq. by OpenAI),Open-source eval/red-team; now OpenAI.,
AI Red Teaming / Guardrails,HiddenLayer,Model scanning + red teaming (cross-listed from Runtime).,
AI Red Teaming / Guardrails,Lakera (acq. by Check Point),guardrails,
AI Red Teaming / Guardrails,Guardrails AI,guardrails,
AI Red Teaming / Guardrails,NeMo Guardrails,guardrails,
